,Unnamed: 0,coin,base_date,base_price,max_date,max_price,pct_change,pump_length,date_listing,pump_to_listing,state
507,507,samo,26-09-2021,0.002871533764473487,30-10-2021,0.2253565803144078,77.47951610477695,38,27-04-2021,152,bearish
508,508,san,16-11-2017,0.19775341737893865,06-01-2018,7.942523152747862,39.163771923740036,70,30-07-2017,109,bullish
509,509,sand,21-01-2021,0.03566929378773852,31-03-2021,0.8200230966695176,21.989608416396628,89,14-08-2020,160,bullish
510,510,sand,29-10-2021,0.6667309816910545,29-11-2021,7.5136387440751715,10.269370931313333,59,14-08-2020,441,bullish
511,511,sbd,21-11-2017,0.95851183623324,19-12-2017,14.1765111281915,13.790126310700927,28,18-07-2016,491,bearish
512,512,sc,16-05-2016,8.421408000000001e-05,25-06-2016,0.0011575095,12.744845280029178,60,26-08-2015,264,bullish
513,513,sc,10-04-2017,0.0005829070749127013,22-06-2017,0.020171319583523,33.60469164239248,76,26-08-2015,593,bullish
514,514,sc,08-11-2017,0.003530015074238532,06-01-2018,0.09286775357527474,25.308033144959715,62,26-08-2015,805,bearish
515,515,scp,19-01-2020,1.0824506245055831e-05,20-02-2020,0.01976218870099894,1824.6896207183083,35,29-03-2019,296,bearish
516,516,scp,11-07-2020,0.010781543885173965,19-08-2020,0.10820511178897227,9.036142591578974,55,29-03-2019,470,bullish
517,517,scp,09-10-2021,0.05016151330787842,16-10-2021,0.34815961109703425,5.9407716820686876,35,29-03-2019,925,bullish
518,518,scp,24-11-2021,0.2180310351657468,10-01-2022,2.954400674676623,12.550367599872624,74,29-03-2019,971,bullish
519,519,scrt,02-10-2021,1.6386920478907332,29-10-2021,9.957622682672618,5.076567403551948,51,01-10-2020,366,bullish
522,522,seth,06-04-2020,0.012815489211807769,09-06-2020,255.78760408998173,19958.253982618746,69,04-07-2019,277,bearish
524,524,sfund,22-07-2021,0.3171778828178331,22-08-2021,4.70346614112005,13.82911134702738,32,01-04-2021,112,bearish
526,526,shib,04-01-2021,5.70041420229866e-11,01-02-2021,2.9099589964068003e-08,509.4820269434764,52,01-08-2020,156,bullish
527,527,shib,28-02-2021,5.864411937505095e-09,11-05-2021,3.531845666311842e-05,6021.506099417022,76,01-08-2020,211,bearish
528,528,shib,04-10-2021,6.056716085120564e-06,28-10-2021,8.190452229022356e-05,12.522925813121253,50,01-08-2020,429,bullish
529,529,shr,25-10-2019,0.0004129874762144379,22-11-2019,0.00465370964097497,10.268403787040256,28,21-06-2019,126,bearish
530,530,shr,13-06-2020,0.003183992591582877,01-08-2020,0.04873686536991579,14.306840065757484,52,21-06-2019,358,bullish
531,531,six,11-03-2019,0.004273613709810975,14-04-2019,0.032893813502712296,6.696955255267378,43,25-09-2018,167,bearish
532,532,six,30-03-2021,0.02878329282335922,03-04-2021,0.1810667775677773,5.290690181938867,7,25-09-2018,917,bearish
533,533,six,27-11-2021,0.0585417839599169,30-11-2021,0.4194730721406665,6.165361964846791,30,25-09-2018,1159,bullish
535,535,slp,06-07-2020,0.0032848958293838705,08-07-2020,0.1938234219562456,58.00443485070879,3,11-01-2020,177,bearish
